prior_score,attendance_rate,parental_income,class_size,learning_disability,after_school_tutoring,final_score
71.5,83.9,61666.46,37,0,0,80.5
68.9,79.8,52846.12,21,0,0,76.4
79.5,83.1,53883.75,39,0,0,85.9
68.9,85.5,40451.43,26,0,0,78.6
59.3,58.8,56471.69,26,0,1,87.6
52.8,48.3,53667.37,20,0,1,80.3
79.9,97.4,55500.9,37,0,0,86.7
72.5,61.9,25060.52,34,0,0,79.7
57.6,97.8,56984.2,16,0,0,84.6
78.6,88.5,38617.98,39,0,0,84.0
58.3,76.5,58050.81,25,0,0,68.1
65.0,91.6,34634.83,30,1,1,84.8
55.9,86.7,61387.62,15,0,0,69.2
73.0,62.9,51612.34,20,0,0,84.0
50.1,64.8,43776.8,24,0,0,65.8
60.5,82.2,69193.94,23,0,0,76.4
55.2,65.2,72239.19,24,1,0,65.4
69.0,75.7,58416.01,32,0,0,81.2
70.8,93.5,79570.13,32,0,0,73.8
48.4,77.3,48695.97,23,0,0,63.5
71.1,83.4,73128.69,27,0,0,83.7
42.8,90.3,58623.34,24,1,1,92.5
97.9,77.4,36327.64,23,0,0,100.0
57.3,77.9,40107.71,18,0,1,79.7
80.7,90.1,107226.73,29,0,0,87.9
68.0,66.7,131685.21,38,0,0,84.2
68.6,67.5,85530.38,22,0,0,84.2
47.5,88.8,44730.27,16,0,0,65.8
77.7,96.2,122254.69,18,0,0,98.8
65.7,65.9,81330.35,20,0,0,75.4
72.1,85.3,70814.8,34,0,0,81.0
63.6,88.4,150415.21,21,0,0,83.2
67.0,84.4,38949.15,27,0,0,71.4
51.7,89.3,88123.36,19,0,0,73.3
62.7,68.3,39842.9,18,0,0,79.1
58.7,97.3,44209.06,36,0,0,77.9
54.4,93.3,219922.57,20,0,0,92.6
67.0,77.1,76970.83,19,1,0,70.0
70.5,93.3,150933.35,36,0,0,94.5
68.8,93.9,78573.55,19,0,0,83.6
63.5,55.8,73218.98,21,0,0,70.4
71.2,64.4,43780.82,19,0,0,80.7
68.6,94.2,97623.27,18,0,0,85.1
66.5,76.6,60636.67,23,0,0,73.6
67.5,77.8,62332.49,19,0,0,82.5
82.7,84.0,52545.57,36,0,0,81.3
46.9,97.3,56931.89,16,1,1,89.3
60.2,48.4,60625.09,31,0,0,70.8
70.1,76.3,63668.21,33,0,0,73.9
41.3,52.4,58374.85,21,0,0,52.9
85.7,80.9,27489.96,31,0,0,93.8
68.8,90.4,78509.19,31,0,0,87.2
79.4,67.7,56302.25,30,0,0,86.2
81.8,96.3,11399.68,22,0,1,100.0
71.2,99.4,27066.65,33,0,0,85.6
31.5,69.2,47253.02,32,0,0,57.8
67.2,89.0,113470.5,38,0,0,81.6
68.2,94.5,81134.03,27,0,0,84.3
48.7,92.8,42464.53,28,0,0,67.0
38.2,77.1,54428.88,32,0,0,63.4
71.9,88.7,104013.04,27,0,0,89.4
46.3,91.2,43995.1,24,1,1,90.1
95.9,54.0,34787.81,28,1,0,80.4
68.9,80.2,92992.51,37,0,0,83.2
85.3,40.9,104614.18,37,0,0,90.2
65.5,98.3,44247.4,24,0,0,85.1
76.3,91.3,76405.23,20,0,0,95.8
65.8,76.5,58670.95,31,0,1,95.4
80.1,59.9,44563.32,31,0,0,91.7
34.4,91.0,107405.44,25,0,0,71.7
78.3,91.1,42959.58,33,1,0,86.7
75.0,93.6,87378.24,27,0,0,90.2
62.7,88.6,61947.23,26,0,0,90.3
58.9,74.1,54926.53,26,0,0,76.6
60.5,67.4,45360.05,18,0,0,67.4
69.2,71.6,36559.35,39,0,0,70.9
83.2,93.6,52841.33,30,0,0,89.4
57.0,83.0,46341.4,37,0,0,70.2
39.5,66.3,62708.87,15,0,0,63.4
100.0,85.0,32901.54,34,0,0,100.0
75.1,91.6,55501.34,36,1,0,76.9
59.1,52.5,73348.8,28,0,0,65.5
82.8,76.0,42760.2,27,0,0,88.7
79.0,86.5,86724.46,36,1,0,77.8
72.4,89.4,91563.0,21,1,0,76.6
57.8,95.3,32742.37,39,0,0,72.2
75.0,86.2,40978.27,20,0,0,82.5
81.3,80.8,30631.55,15,0,0,80.0
39.2,96.3,73979.23,33,1,0,57.3
68.4,84.4,63827.47,15,0,0,91.5
69.5,86.8,26888.03,36,0,0,82.1
69.0,88.0,43216.49,37,0,0,73.7
65.7,69.3,69853.88,29,0,0,64.7
82.8,97.3,63352.9,26,0,0,94.5
61.8,87.7,109653.08,29,0,0,85.6
65.0,85.6,33659.15,17,0,0,80.6
69.7,71.5,59608.39,24,0,0,80.3
62.3,69.8,36283.56,39,0,0,65.9
44.2,67.8,63264.32,15,1,1,89.4
68.2,76.3,54692.02,15,1,0,69.5
68.4,73.8,68588.42,37,1,0,66.3
59.5,56.5,48796.99,35,1,1,84.0
63.0,63.6,87655.0,30,0,0,73.8
17.3,84.9,41884.03,19,0,1,70.5
83.1,75.4,36039.25,19,0,0,84.2
78.5,92.4,67011.03,25,0,0,91.0
44.9,91.1,151287.14,25,0,0,84.3
54.9,64.0,27982.63,26,0,0,56.9
86.7,89.8,33783.36,35,0,0,92.0
47.7,87.0,67223.41,32,0,0,73.7
72.2,77.0,105199.37,28,0,0,88.5
57.6,65.6,69787.99,15,0,0,76.4
71.2,86.3,44178.86,35,0,0,87.9
65.8,64.9,73876.33,39,0,0,80.6
60.8,67.1,77510.29,22,0,0,73.4
70.8,73.3,42612.6,39,0,0,82.3
57.6,95.7,90438.27,17,0,0,81.9
38.2,85.4,58849.68,32,0,0,66.6
51.1,75.6,24963.03,35,0,0,58.5
49.3,84.3,55970.77,37,0,0,67.5
40.9,95.9,45047.31,34,0,1,89.7
70.5,72.1,114972.23,16,0,0,86.0
62.4,94.6,30807.84,23,0,0,79.8
70.3,82.4,47025.17,36,0,0,86.5
72.8,94.6,68091.21,33,0,0,84.8
76.3,90.9,200690.49,26,0,0,100.0
71.1,97.9,159127.69,25,0,0,90.5
50.3,64.5,58535.06,15,0,0,71.2
73.7,84.0,71299.62,30,0,0,77.0
68.3,65.8,80901.89,15,0,0,81.7
97.9,78.4,36090.4,38,0,0,95.0
65.1,85.2,60178.55,34,0,0,87.3
70.7,71.5,117960.93,23,0,0,83.8
63.6,76.2,64267.33,19,0,0,67.9
65.7,78.6,158720.87,19,0,0,91.8
64.7,74.8,47914.85,22,1,1,83.4
58.5,73.7,57278.11,37,0,0,72.2
67.7,94.8,57506.27,38,0,0,78.2
74.3,76.4,31236.05,28,0,0,79.2
58.7,58.6,104087.34,18,0,0,64.8
77.5,79.4,50671.89,26,0,0,76.2
75.7,90.7,68122.17,16,0,1,100.0
51.8,83.6,44391.88,20,0,0,69.5
50.5,69.7,141857.98,28,0,0,69.9
71.7,71.3,110893.77,27,0,0,82.9
56.2,57.8,61646.73,37,0,1,89.0
49.3,95.0,32464.52,36,0,1,87.0
90.8,41.5,86853.32,17,0,0,91.9
50.5,76.3,102897.42,33,0,0,68.2
42.1,81.8,37659.59,19,0,1,87.8
53.2,78.7,55731.62,37,1,0,58.4
68.5,87.8,62219.5,32,0,0,83.6
66.1,85.6,103103.51,26,0,0,85.9
93.3,64.9,55510.51,25,0,0,90.0
53.5,79.3,96859.97,18,0,0,74.1
68.5,45.0,40682.44,26,0,0,70.8
81.9,93.7,35322.88,38,0,0,91.0
55.1,85.2,149606.02,33,0,0,90.4
75.6,57.1,31063.2,21,0,0,73.8
37.5,80.5,41125.48,24,0,1,87.6
91.4,85.2,88652.23,33,0,0,96.1
79.9,87.4,45920.8,38,0,0,85.7
54.8,96.7,45312.8,37,1,1,88.5
77.4,62.4,54243.54,15,0,0,80.6
84.7,76.4,20373.95,30,0,0,83.3
45.7,97.6,104851.38,18,0,0,85.0
56.0,80.6,65378.07,37,0,0,73.0
85.2,72.6,39905.91,26,0,0,89.5
66.0,92.9,25383.34,27,0,1,100.0
71.5,73.8,30252.12,35,0,0,86.2
66.1,80.9,26979.93,17,0,0,75.9
78.4,86.8,67079.27,30,0,0,84.2
72.7,92.5,67414.88,16,0,0,81.9
66.6,95.2,81314.48,23,0,0,78.9
33.5,73.3,86361.17,20,0,0,59.2
74.6,82.1,81967.81,24,0,0,81.5
75.9,71.7,129174.74,31,0,0,89.4
46.4,64.5,108838.53,19,0,0,66.1
47.4,78.3,96683.41,26,0,0,69.5
72.8,80.0,67399.29,37,0,0,82.2
67.9,80.0,85851.08,22,0,0,81.5
35.4,93.1,48761.55,35,0,0,56.0
52.7,67.3,53610.51,26,1,1,84.1
69.7,86.2,141592.34,26,0,0,96.8
75.2,85.5,45317.22,24,0,0,90.4
56.2,93.0,43679.78,27,1,1,92.1
62.8,87.5,49959.29,15,0,0,77.3
51.8,93.2,45494.52,16,0,1,89.1
84.9,93.5,47463.96,34,0,0,94.5
67.6,77.6,67585.53,29,0,0,81.6
55.0,86.1,68700.82,24,0,0,78.2
47.7,85.6,94423.59,15,0,0,82.9
46.0,85.3,178802.77,34,0,0,79.0
92.2,82.1,49802.97,36,1,0,79.3
62.4,63.4,57943.23,36,0,0,69.7
59.0,97.2,23885.47,32,0,0,74.7
61.8,86.9,31377.5,15,0,1,90.9
55.5,69.2,55653.18,26,0,1,92.8
63.4,69.8,75492.69,22,0,0,80.9
65.5,55.3,76549.39,39,0,0,80.6
65.2,69.5,81514.82,23,0,0,85.4
46.1,89.6,112278.01,37,0,0,60.5
78.4,81.2,140483.3,34,0,0,90.0
56.7,81.4,53013.5,16,0,0,74.5
55.1,84.2,40092.19,30,0,0,65.3
54.4,52.0,83070.41,37,0,0,67.4
49.2,49.0,95502.91,36,0,0,61.4
69.0,54.7,64081.81,28,0,0,73.9
78.4,84.8,54748.33,37,0,0,94.1
54.2,63.4,46533.0,15,0,0,74.5
37.4,95.9,58622.99,28,0,0,64.8
49.6,72.7,84544.58,34,0,0,65.0
58.3,71.7,42867.49,31,1,1,85.6
46.5,61.1,40115.68,37,0,0,49.8
56.0,84.4,80805.2,20,0,0,80.0
56.7,93.2,39182.19,22,1,0,67.3
64.8,84.6,64574.95,32,0,0,73.3
43.2,72.7,62887.7,22,0,1,92.7
73.7,89.2,59886.44,22,0,0,83.0
89.9,84.1,43419.81,16,0,0,89.0
86.4,78.7,142479.44,30,0,0,99.8
56.2,95.5,73069.44,27,0,0,71.0
75.0,87.5,46295.33,28,0,0,80.1
73.3,62.0,70648.24,21,0,0,83.2
64.3,90.5,149658.68,17,0,0,87.8
67.7,87.3,62614.76,35,1,0,78.0
75.2,81.8,128885.02,22,0,0,84.5
78.3,80.2,33729.33,15,0,0,85.4
52.8,86.9,39121.42,31,0,0,75.0
76.2,84.2,20533.23,22,0,0,86.5
90.0,69.5,160794.4,20,1,0,88.6
78.2,63.8,25567.36,33,0,0,88.2
88.0,84.0,65323.15,25,0,0,84.4
26.2,64.6,142745.58,22,0,0,60.6
73.9,80.5,97302.66,22,0,0,92.7
69.0,73.7,72268.7,39,0,0,85.6
80.4,86.3,113727.65,24,0,0,90.0
48.1,70.4,42864.79,24,0,1,86.0
57.4,78.8,77562.78,36,0,0,78.4
78.5,83.5,56595.01,37,0,0,84.9
49.1,74.6,56015.13,27,0,0,61.3
68.6,83.6,65860.5,36,0,0,72.3
64.7,92.2,107759.83,17,0,0,83.1
62.1,43.1,131041.57,39,0,0,72.3
73.6,69.5,52391.13,31,0,0,76.4
48.3,91.6,34740.24,35,0,1,96.9
53.3,91.5,39743.84,36,0,0,73.4
62.9,70.6,158561.44,29,0,0,83.4
47.0,79.9,125541.07,20,0,0,73.6
83.5,92.0,34695.3,31,0,0,88.1
53.0,63.1,137379.79,38,0,0,77.3
76.8,92.6,41947.34,15,0,0,81.9
51.9,96.9,83475.01,17,0,0,72.4
75.6,50.9,41931.65,22,0,0,77.4
40.9,69.9,176563.35,22,0,0,60.2
86.1,70.5,45023.04,25,0,0,83.8
82.0,79.0,35422.24,30,0,0,90.0
56.7,78.3,47654.76,15,0,0,76.9
52.6,86.5,222668.33,25,0,0,80.6
71.9,80.0,68205.28,31,0,0,82.3
42.1,77.6,35806.78,27,0,1,76.6
65.5,89.1,40368.69,38,0,0,73.5
52.9,86.7,24988.23,16,0,0,66.8
61.2,52.4,78438.19,19,0,0,76.4
55.3,93.9,32039.62,38,0,0,76.1
53.0,68.7,104071.07,35,0,0,69.9
90.6,80.7,88880.03,26,0,0,89.2
76.7,58.6,56953.5,29,0,0,71.5
42.8,71.5,111086.07,21,0,0,74.6
51.9,71.7,95110.5,20,0,0,71.5
77.9,97.7,64760.77,19,0,0,89.7
79.5,80.2,40779.12,29,0,1,93.2
44.2,83.5,73626.99,17,0,0,73.4
75.5,76.5,73412.47,36,0,0,87.3
69.0,78.8,76552.15,23,0,0,80.3
35.9,78.6,62287.51,37,0,0,55.1
59.0,61.6,70514.74,31,0,0,72.5
63.0,86.5,69638.64,35,0,0,69.2
65.7,79.9,118307.87,37,0,0,85.9
45.2,91.6,31664.45,28,0,1,85.2
53.6,76.9,36286.67,21,0,0,69.9
55.7,91.6,62166.09,29,0,0,74.8
57.0,77.5,40945.85,21,0,0,75.9
57.2,66.8,66531.87,27,1,0,66.2
63.0,77.8,34317.91,28,0,0,79.2
69.6,97.3,37134.8,36,0,0,81.8
91.6,89.9,167753.01,25,0,0,100.0
78.1,98.3,53387.59,32,0,1,99.6
84.8,89.6,33335.53,27,0,0,86.5
57.8,91.5,56533.5,26,0,0,77.8
49.9,95.4,100529.9,16,0,0,77.6
77.0,89.6,109399.9,24,0,0,98.7
64.8,74.5,28838.43,36,1,0,61.9
76.0,74.7,40801.67,25,1,0,64.9
51.8,73.2,66926.71,30,0,1,89.8
74.7,88.0,58865.64,31,0,0,89.9
62.4,88.8,26903.1,28,0,1,95.2
58.1,92.7,29173.18,36,0,1,93.5
59.5,72.2,35108.49,35,0,0,75.2
72.4,98.7,24699.94,27,0,0,84.0
76.6,95.8,47608.4,31,0,0,78.6
59.5,81.5,108798.01,19,0,0,85.2
70.2,69.7,42919.36,18,0,0,79.9
70.1,88.7,102860.38,39,1,0,75.6
76.1,84.3,60769.8,25,0,0,80.0
79.8,87.7,54628.39,31,0,0,83.8
92.2,64.9,26033.26,17,0,0,79.9
58.0,75.3,107463.71,16,0,0,76.3
86.9,93.2,63463.09,15,0,0,92.6
66.8,86.1,26904.63,32,0,0,76.1
48.6,79.0,72469.95,30,0,0,77.0
55.2,65.1,44626.46,25,0,0,72.9
72.0,59.8,61738.36,21,0,0,79.4
75.9,93.9,67512.43,19,0,0,85.4
49.8,53.4,109959.55,32,0,0,62.6
53.5,87.1,34076.41,18,0,1,95.8
57.0,75.1,79693.32,36,0,0,67.2
52.0,75.3,116325.63,22,0,0,69.9
36.8,75.8,211132.97,36,0,0,87.6
31.7,72.6,101192.51,20,0,0,60.7
59.3,96.2,71732.79,36,0,0,88.8
68.8,93.1,68700.44,35,0,0,81.5
74.8,83.0,130098.98,35,0,0,97.2
44.6,77.0,51884.82,36,0,0,65.1
44.8,40.2,89138.91,36,0,0,56.8
57.1,89.3,179342.26,15,0,0,84.1
65.1,59.7,56687.71,21,0,0,63.4
80.1,88.1,21873.34,20,1,1,89.9
75.8,97.8,38932.84,36,0,0,88.7
59.5,94.8,69336.22,15,0,0,79.7
70.4,84.5,39400.15,21,0,0,78.1
52.3,89.6,50331.83,28,0,1,90.5
66.1,98.5,51661.96,20,0,0,87.3
64.1,72.1,79258.87,24,0,0,71.5
86.1,51.1,37310.02,32,0,0,84.1
72.4,80.0,44717.39,30,0,0,73.4
53.4,63.6,120997.31,26,0,0,60.4
53.6,89.4,47052.48,25,0,0,69.1
60.0,58.8,86067.98,38,0,0,70.1
41.5,91.5,60292.86,22,0,0,65.4
61.5,84.6,59186.05,29,0,0,76.3
62.8,68.6,86601.36,37,0,0,79.0
72.0,88.9,23594.5,26,0,1,92.6
74.2,90.9,74732.64,37,0,0,79.8
66.5,87.8,78935.09,21,0,0,88.6
40.6,77.2,91511.67,30,0,0,72.2
46.7,89.0,49625.73,18,0,1,90.6
55.9,98.5,59889.88,15,0,0,80.0
74.8,95.0,17566.25,39,1,1,96.7
74.3,69.2,42833.65,15,0,0,86.2
61.3,86.6,65368.3,35,0,1,88.8
100.0,83.9,124907.75,29,0,0,100.0
88.4,68.1,150676.35,28,0,0,90.6
83.6,72.0,50451.92,39,0,0,87.0
75.5,86.0,92689.99,29,0,0,91.8
71.9,74.2,55625.48,16,0,0,75.0
70.8,95.1,26689.37,30,0,0,84.4
37.9,61.7,81026.18,19,0,0,66.0
49.2,72.5,149588.37,25,0,0,83.9
61.7,86.2,49477.91,25,0,1,93.5
66.9,95.6,38039.16,15,0,0,84.0
63.1,89.8,61925.32,16,0,0,87.0
69.1,78.0,56308.69,15,0,0,75.3
33.5,70.8,220801.84,17,1,0,63.9
72.6,54.5,99005.54,34,0,0,74.5
65.9,80.2,63875.75,15,0,0,80.7
62.2,75.6,14077.53,31,0,0,69.6
78.9,72.7,55734.28,16,0,0,82.6
49.3,85.1,151162.9,28,1,0,72.0
61.4,58.9,62319.13,34,0,0,67.7
69.3,89.5,90302.89,16,1,0,74.9
52.2,47.0,72837.02,32,0,1,90.0
34.9,93.6,46942.04,22,0,0,72.3
47.7,68.4,139477.4,22,0,0,81.2
64.0,60.7,65805.12,21,0,0,76.4
61.3,60.0,42047.91,25,0,0,74.1
64.7,80.6,60522.02,34,0,0,79.1
55.1,86.0,122243.88,21,0,0,70.3
45.3,87.4,28574.62,36,0,1,76.8
67.1,79.2,68537.28,21,0,0,79.4
62.5,59.7,62119.63,31,0,0,82.2
74.6,83.0,27721.0,29,0,0,75.3
53.8,88.4,87849.81,35,0,0,78.9
34.7,86.6,68065.51,35,0,0,55.2
25.9,80.5,92898.62,21,1,0,53.4
59.0,90.5,105771.79,34,0,0,83.4
66.9,92.2,58233.73,31,0,1,91.6
61.5,76.1,45351.48,33,0,0,73.9
56.5,83.0,29370.18,28,0,1,92.6
41.1,82.5,43383.34,34,0,0,63.3
36.7,75.4,60202.79,19,0,0,67.2
70.5,90.6,36982.92,26,0,0,85.1
61.6,92.0,80155.68,38,0,0,88.8
59.5,87.3,38112.1,38,0,0,81.1
41.9,85.1,24799.79,26,0,1,86.1
50.5,83.4,44847.91,16,0,1,93.9
65.7,77.6,65651.39,18,0,0,78.6
69.3,63.6,31897.32,16,0,0,78.0
62.5,92.0,38402.16,19,0,0,81.2
85.7,93.2,43691.71,34,0,0,88.3
56.4,85.1,46656.19,16,0,0,81.5
84.3,90.7,69490.21,27,0,0,91.1
68.3,87.4,82367.77,17,0,0,86.5
66.6,78.1,47230.0,29,0,0,76.5
79.0,82.4,35615.31,33,0,0,91.5
55.6,81.4,64110.78,30,0,0,66.2
60.1,91.6,77564.28,28,0,0,72.9
46.6,84.0,134173.22,37,0,0,71.5
79.0,46.0,106200.66,18,0,0,83.6
70.0,41.5,31906.85,31,0,0,70.7
81.5,80.9,55798.6,35,1,0,70.8
68.1,87.6,75213.11,36,0,0,83.5
81.5,82.6,39140.14,36,0,0,79.3
53.8,83.2,50244.08,26,0,0,72.0
79.8,88.3,83866.34,16,0,0,98.3
59.0,68.7,67845.32,35,0,0,76.7
65.0,66.0,59925.91,34,1,0,63.1
75.9,94.5,43184.0,28,0,0,82.9
99.9,84.5,29062.34,35,0,0,100.0
77.3,74.6,51214.73,37,0,0,86.2
78.7,94.0,57204.43,17,0,0,93.3
56.8,87.6,28732.56,30,0,0,76.5
67.4,87.8,61327.61,22,0,0,84.8
63.6,73.9,72840.11,26,0,0,80.4
86.1,88.7,42361.88,23,0,0,93.1
62.8,62.9,73256.51,15,0,0,77.7
84.9,87.7,68723.94,15,1,0,82.5
45.5,93.2,51417.51,23,0,1,89.3
86.0,96.5,48630.91,29,0,0,100.0
52.1,84.7,50711.19,24,0,0,75.1
77.8,87.0,39022.74,31,0,0,80.8
52.0,92.1,71134.06,16,0,0,79.8
74.3,80.0,39236.55,17,0,0,82.5
50.6,58.7,40516.3,37,0,0,58.8
80.5,84.8,76774.88,24,1,0,82.7
77.7,93.1,53048.64,33,0,0,83.0
56.0,91.5,61749.95,23,0,0,71.3
73.7,72.4,25442.91,32,0,0,84.5
79.2,94.3,46089.86,17,0,0,83.2
51.2,67.0,138743.9,23,0,0,76.7
49.5,72.2,24577.73,36,0,0,67.5
48.9,54.5,143603.93,25,0,0,68.1
46.8,87.8,68227.77,23,0,0,75.7
48.9,49.2,45867.24,19,0,1,85.2
78.9,65.2,54056.74,34,0,0,99.7
73.4,76.5,110775.04,32,0,0,88.0
39.6,93.8,19172.89,26,0,1,93.4
57.3,89.4,121505.45,31,0,0,75.4
47.6,38.2,68379.07,35,0,0,55.7
77.9,85.8,99321.92,31,0,1,100.0
58.3,87.1,24980.19,30,0,1,87.6
41.8,81.2,53437.44,36,0,0,60.9
67.6,79.8,18691.5,36,0,1,100.0
74.1,71.1,108966.05,28,0,0,90.3
50.7,79.6,36630.83,37,0,0,69.2
61.0,47.0,36362.67,23,0,0,68.9
51.5,91.2,22760.58,36,0,0,69.9
83.7,88.2,74770.95,27,0,0,84.0
58.5,85.1,62065.48,17,0,0,77.6
54.2,53.1,41194.7,38,0,0,60.1
64.2,95.9,68292.25,19,1,1,100.0
61.9,70.2,40539.57,38,0,1,85.7
75.3,74.3,24843.61,22,1,0,67.7
83.2,86.2,49916.21,17,0,0,83.8
83.4,86.9,136265.33,37,0,0,100.0
59.3,94.8,97327.14,30,0,0,88.5
69.6,66.1,75183.4,18,0,0,76.3
87.3,68.9,67643.89,23,0,0,87.4
87.9,75.1,49927.87,21,1,0,85.8
51.9,85.5,86507.67,32,0,0,73.5
73.9,64.2,79432.42,31,0,0,83.2
71.3,76.5,57436.96,36,0,0,83.0
78.9,84.4,66140.74,20,0,0,87.7
83.7,86.7,26824.47,24,0,0,86.1
49.4,88.1,47091.67,19,0,0,65.5
54.6,67.0,32973.08,29,0,0,61.5
78.6,84.4,32660.13,16,0,1,90.6
67.2,70.8,75745.68,29,1,1,91.5
31.6,78.5,31815.07,23,0,1,80.0
40.0,75.4,87907.86,20,1,1,85.2
74.9,75.6,100307.95,18,1,1,100.0
77.6,85.0,58055.1,37,0,0,86.8
44.8,93.5,44233.69,28,0,1,81.3
81.5,92.1,100258.95,23,0,0,91.6
62.0,72.4,78919.58,38,0,0,70.8
49.7,98.6,108835.17,15,0,0,74.1
56.6,78.0,34865.24,33,0,0,72.6
46.7,79.9,52566.05,24,0,1,87.8
55.8,97.5,53675.8,32,0,0,70.7
37.0,76.0,66483.72,33,0,0,64.4
63.9,79.2,81833.62,35,0,0,77.8
73.8,72.2,64145.91,20,0,0,79.4
44.8,72.8,116739.63,17,0,0,73.5
65.3,92.3,49643.73,32,0,0,86.3
52.9,69.1,35436.4,35,0,0,62.4
75.0,55.5,42923.11,34,0,0,72.3
30.3,85.1,40334.46,35,0,1,81.9
75.7,90.3,47669.04,24,0,1,100.0
37.7,70.7,52334.2,34,0,1,78.9
61.9,64.9,53455.87,18,0,0,70.6
54.4,88.2,67235.98,22,0,0,75.5
59.6,94.2,47545.97,30,0,0,70.5
42.1,81.4,101154.11,36,1,0,56.0
89.9,82.9,22717.76,16,0,0,87.7
45.7,69.1,19664.52,33,0,1,76.2
46.9,80.3,98780.42,29,0,0,72.4
91.9,91.3,94974.74,22,0,0,100.0
69.8,78.1,111247.39,31,0,0,77.8
46.2,66.2,82319.52,27,0,0,70.8
63.1,50.0,59949.88,36,0,0,70.7
61.5,75.2,52616.53,17,1,0,45.8
39.7,82.7,26874.48,39,1,1,74.4
53.6,72.6,64462.27,24,0,0,87.9
64.6,90.6,29190.55,27,0,0,66.9
84.0,60.2,205470.39,25,0,0,100.0
62.2,93.8,35738.21,15,0,0,80.2
63.3,70.0,57657.95,28,0,0,70.4
52.8,92.3,127160.51,16,0,0,83.7
81.4,95.3,49860.57,36,0,0,91.4
78.5,73.6,50029.07,26,1,1,93.2
76.8,88.8,16425.79,18,0,1,96.8
66.7,76.0,31104.59,26,0,0,73.8
41.0,97.3,79282.17,15,0,0,72.0
81.3,71.8,138194.52,24,0,0,97.2
65.9,91.2,38346.72,18,0,0,84.7
60.4,91.5,66063.39,16,0,0,78.7
71.7,82.2,231938.32,39,0,0,100.0
68.4,72.8,79491.14,37,0,0,73.4
49.0,83.1,97541.91,36,0,0,63.5
60.2,87.4,40821.45,39,0,1,89.6
36.4,81.1,130116.66,27,1,0,52.6
66.3,85.7,42355.12,22,0,0,78.9
85.0,88.8,38793.09,16,0,0,93.1
38.1,80.4,125453.34,17,0,0,70.2
66.9,63.7,43544.16,29,0,1,88.4
75.0,94.2,59764.23,21,0,0,83.5
77.2,90.4,135008.46,24,0,0,99.1
53.8,92.5,37908.84,34,0,0,76.6
48.5,63.9,53188.41,25,0,1,85.0
56.2,84.5,44129.97,36,0,1,86.3
82.9,93.2,50799.19,39,1,1,100.0
39.4,78.9,61060.53,37,0,1,77.7
46.8,89.1,117014.01,28,0,0,69.5
58.1,89.3,136100.04,33,0,0,86.3
50.4,81.7,64726.1,28,0,0,62.2
64.4,67.9,41635.51,36,0,0,66.4
86.2,94.2,84037.53,37,0,0,100.0
46.9,67.9,60031.97,15,0,0,58.1
62.8,95.1,61019.5,21,0,0,79.1
64.9,73.1,35742.24,19,0,0,84.0
60.0,94.4,26674.34,21,0,1,96.4
41.3,68.9,59310.4,27,1,1,73.4
55.4,67.8,35075.94,21,0,1,88.9
55.5,75.2,45929.66,36,1,0,61.4
74.5,66.6,125659.55,33,0,0,81.8
71.3,92.9,57810.26,39,0,0,85.9
41.7,77.5,104145.71,27,0,0,74.9
59.2,66.3,69429.8,30,0,0,80.6
57.5,86.8,80171.09,35,0,0,78.6
94.3,79.1,45477.89,39,0,0,97.1
69.4,62.1,106559.17,29,0,0,77.3
48.8,79.2,69941.48,33,0,0,77.5
53.3,84.1,52459.62,21,0,0,67.6
59.3,87.4,69923.0,19,0,0,74.8
70.4,90.4,41872.26,28,1,1,90.6
72.3,73.7,51697.2,37,0,0,77.0
68.0,62.9,58242.13,30,0,0,70.4
61.9,95.0,46034.92,38,0,0,75.5
63.0,76.0,130530.22,25,0,0,91.2
63.1,74.5,48650.07,38,0,0,70.7
38.3,91.9,169610.5,35,0,0,71.9
64.1,44.7,61922.17,25,0,0,78.1
56.3,78.5,53254.37,26,0,0,62.3
40.2,95.4,46526.91,35,0,0,68.4
100.0,89.0,73954.45,27,0,0,100.0
69.7,42.9,93629.1,22,0,0,80.0
65.2,70.1,16831.91,20,0,1,91.3
59.4,80.7,60020.51,36,0,0,81.1
76.0,78.6,22157.96,16,0,0,76.2
47.6,87.1,97822.79,37,0,0,65.4
60.3,69.6,98700.29,24,1,0,69.4
50.7,84.6,61113.43,37,0,1,84.0
75.8,74.0,66449.48,36,0,0,87.4
52.6,73.7,29293.39,16,0,0,69.8
81.5,90.8,45540.48,25,0,0,90.8
63.5,91.8,44086.55,19,0,1,92.9
76.6,75.9,47834.27,20,0,0,83.8
71.0,88.4,92603.95,30,1,0,75.4
80.9,81.3,113646.99,34,0,0,100.0
51.0,76.8,81250.08,24,0,0,70.3
78.6,62.7,50934.55,28,1,1,87.9
37.1,91.4,41229.87,20,0,0,67.8
65.6,93.6,62646.43,19,0,0,77.7
56.8,81.8,69442.97,24,0,0,84.1
43.9,94.7,53610.96,26,1,0,50.1
51.6,88.7,43065.05,39,0,0,78.1
55.4,89.7,81440.48,36,0,0,75.8
62.1,66.7,85541.95,31,0,0,74.0
57.1,83.6,31071.09,30,0,0,79.8
66.2,90.1,49421.07,24,0,0,79.0
52.5,71.9,88340.23,31,0,0,66.5
57.8,91.6,98153.77,16,0,0,80.9
60.7,84.3,61838.62,16,0,0,81.0
67.7,78.8,71873.81,28,0,0,80.4
77.7,59.1,67932.45,18,0,0,82.0
77.8,95.3,96486.11,26,0,0,91.2
